iter	Passed	Remaining
0	3	3279
1	5	2865
2	8	2741
3	10	2642
4	13	2657
5	15	2614
6	18	2610
7	20	2578
8	23	2563
9	25	2570
10	28	2586
11	31	2567
12	33	2574
13	36	2572
14	39	2570
15	41	2567
16	44	2556
17	46	2543
18	49	2546
19	52	2551
20	54	2541
21	56	2530
22	59	2523
23	62	2528
24	64	2503
25	66	2495
26	69	2491
27	71	2471
28	73	2469
29	76	2464
30	78	2447
31	81	2453
32	83	2445
33	84	2413
34	87	2408
35	89	2395
36	91	2391
37	94	2390
38	96	2390
39	99	2388
40	101	2384
41	104	2383
42	107	2382
43	109	2381
44	112	2382
45	114	2376
46	116	2371
47	119	2373
48	122	2369
49	124	2368
50	127	2365
51	129	2363
52	131	2342
53	133	2339
54	136	2336
55	138	2336
56	140	2332
57	143	2329
58	146	2333
59	148	2328
60	151	2324
61	153	2322
62	155	2319
63	158	2320
64	161	2316
65	162	2302
66	165	2298
67	167	2294
68	169	2289
69	172	2287
70	173	2273
71	175	2256
72	177	2249
73	178	2235
74	180	2228
75	183	2225
76	185	2222
77	188	2226
78	190	2222
79	192	2209
80	194	2209
81	197	2209
82	199	2207
83	202	2204
84	204	2201
85	206	2198
86	209	2197
87	212	2201
88	215	2200
89	216	2192
90	219	2191
91	222	2191
92	224	2188
93	226	2181
94	229	2187
95	232	2187
96	234	2185
97	237	2184
98	239	2183
99	242	2180
100	244	2179
101	247	2176
102	249	2173
103	252	2174
104	254	2173
105	257	2172
106	259	2169
107	262	2167
108	264	2165
109	267	2162
110	269	2160
111	272	2158
112	274	2155
113	277	2153
114	279	2151
115	282	2151
116	284	2150
117	287	2148
118	289	2146
119	292	2143
120	294	2140
121	297	2140
122	299	2136
123	302	2135
124	304	2133
125	307	2132
126	310	2131
127	312	2128
128	314	2125
129	317	2122
130	319	2120
131	322	2118
132	324	2117
133	327	2116
134	329	2113
135	332	2113
136	335	2111
137	337	2110
138	340	2109
139	343	2107
140	345	2105
141	348	2103
142	350	2101
143	353	2101
144	356	2099
145	358	2098
146	361	2096
147	364	2096
148	366	2094
149	369	2093
150	371	2091
151	374	2090
152	377	2088
153	379	2087
154	382	2086
155	385	2084
156	388	2083
157	390	2081
158	393	2080
159	396	2080
160	399	2079
161	401	2078
162	404	2075
163	406	2072
164	409	2071
165	411	2069
166	414	2067
167	416	2064
168	419	2063
169	422	2061
170	424	2059
171	427	2057
172	429	2054
173	432	2051
174	434	2046
175	436	2045
176	439	2043
177	441	2040
178	444	2037
179	445	2031
180	448	2028
181	450	2024
182	453	2022
183	455	2019
184	457	2017
185	459	2009
186	461	2007
187	464	2007
188	467	2005
189	469	2002
190	471	1999
191	474	1996
192	476	1993
193	479	1992
194	482	1991
195	484	1988
196	487	1985
197	489	1983
198	492	1981
199	494	1979
200	497	1976
201	499	1974
202	502	1971
203	504	1969
204	507	1966
205	509	1962
206	511	1960
207	514	1958
208	516	1954
209	518	1952
210	522	1952
211	524	1949
212	527	1947
213	529	1944
214	531	1941
215	533	1937
216	535	1933
217	538	1929
218	539	1924
219	542	1921
220	544	1919
221	547	1917
222	549	1914
223	551	1909
224	553	1907
225	556	1904
226	558	1902
227	561	1900
228	563	1898
229	566	1894
230	568	1892
231	570	1889
232	573	1888
233	576	1886
234	579	1886
235	581	1883
236	584	1881
237	587	1879
238	589	1877
239	592	1875
240	594	1873
241	597	1871
242	600	1870
243	603	1868
244	605	1867
245	608	1864
246	609	1859
247	612	1856
248	614	1854
249	617	1852
250	620	1850
251	622	1848
252	625	1846
253	627	1844
254	630	1842
255	633	1840
256	635	1837
257	637	1832
258	639	1829
259	642	1827
260	644	1825
261	647	1823
262	650	1821
263	652	1819
264	655	1817
265	656	1812
266	659	1809
267	660	1804
268	663	1802
269	665	1799
270	668	1797
271	670	1795
272	672	1791
273	675	1789
274	677	1786
275	679	1783
276	682	1781
277	684	1778
278	687	1775
279	688	1770
280	690	1767
281	692	1764
282	695	1761
283	697	1759
284	700	1756
285	702	1753
286	705	1751
287	707	1748
288	709	1746
289	712	1744
290	714	1741
291	717	1739
292	719	1736
293	722	1734
294	724	1730
295	726	1727
296	728	1725
297	731	1722
298	733	1720
299	736	1717
300	738	1715
301	741	1712
302	743	1711
303	746	1708
304	748	1705
305	750	1703
306	753	1700
307	755	1698
308	758	1695
309	759	1691
310	762	1688
311	764	1686
312	767	1684
313	770	1682
314	772	1679
315	774	1677
316	777	1674
317	779	1672
318	782	1669
319	784	1667
320	786	1664
321	789	1661
322	791	1659
323	794	1657
324	796	1654
325	799	1652
326	801	1649
327	804	1647
328	806	1645
329	808	1642
330	811	1640
331	813	1637
332	816	1635
333	818	1632
334	821	1630
335	823	1627
336	826	1625
337	828	1623
338	831	1620
339	833	1618
340	836	1616
341	838	1613
342	841	1610
343	843	1608
344	845	1606
345	848	1603
346	851	1601
347	853	1599
